buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp,commit_date
clean,clean,clean,clean,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.5434446483900099,3.044522437723423,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2012-10-27 06:20:30-07:00
clean,clean,clean,clean,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,6.859614903654202,0.0,0.0,0,0.0,0.0,0.0,0.6931471805599453,0.6902043348470769,0.0,2012-10-29 22:25:44+05:18
buggy,clean,clean,clean,1.3862943611198906,2.079441541679836,3.555348061489413,1.5043646383163816,8.305978210967302,0.0,0.0,0,0.0,0.0,0.0,1.0986122886681098,1.0966425101390762,0.6931471805599453,2012-10-29 22:32:44+05:18
clean,clean,clean,clean,0.0,0.0,1.0986122886681098,0.0,3.044522437723423,0.0,0.0,0,0.0,0.0,0.0,1.3862943611198906,1.3848019469484325,0.0,2012-10-29 22:43:35+05:18
buggy,buggy,buggy,clean,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,3.5263605246161616,1.0986122886681098,1.6094379124341005,0,0.6931471805599453,0.0,0.0,1.6094379124341005,1.6082360308278525,0.6931471805599453,2012-10-29 22:48:56+05:18
buggy,buggy,buggy,buggy,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,1.0986122886681098,1.0986122886681098,4.770684624465665,1,0.6931471805599453,1.3862943611198906,0.6931471805599453,0.0,0.0,1.0986122886681098,2012-11-01 19:30:22+01:00
clean,clean,clean,clean,0.0,0.0,0.6931471805599453,0.0,1.0986122886681098,1.0986122886681098,0.0,1,0.0,0.0,0.0,1.791759469228055,1.7836193487783605,0.0,2012-11-01 14:02:21-07:00
buggy,buggy,buggy,buggy,1.0986122886681098,1.3862943611198906,1.9459101490553128,0.8882467773342115,5.153291594497779,4.343805421853684,6.0157505729881375,1,1.0986122886681098,1.1786549963416462,1.0986122886681098,1.9459101490553128,1.9385725520290176,1.3862943611198906,2012-11-02 06:05:57+05:18
buggy,buggy,buggy,buggy,1.0986122886681098,1.0986122886681098,1.0986122886681098,0.6609686514955881,2.5649493574615367,1.791759469228055,6.246106765481563,0,0.6931471805599453,0.0,0.6931471805599453,2.079441541679836,2.0729972914644086,1.6094379124341005,2012-11-02 06:22:11+05:18
clean,clean,clean,clean,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,2.6390573296152584,0.0,3.58351893845611,0,0.6931471805599453,0.0,0.0,2.19722457733622,2.1912735446105382,1.0986122886681098,2012-11-02 08:36:07+05:18
