buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp,commit_date
clean,clean,clean,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2011-10-18 15:53:51-07:00
clean,clean,clean,clean,1.0986122886681098,1.6094379124341005,1.6094379124341005,0.7530035498947133,5.575949103146316,0.0,0.0,0,0.0,0.0,0.0,0.0,0.6824328758104004,0.0,2011-10-26 14:40:35-07:00
clean,clean,clean,clean,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,2011-10-27 14:27:32-07:00
clean,clean,buggy,buggy,0.6931471805599453,1.0986122886681098,1.0986122886681098,0.6922740842159764,4.736198448394496,2.302585092994046,4.867534450455582,0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931137284080533,0.6931471805599453,2011-10-27 15:02:42-07:00
clean,buggy,buggy,buggy,0.6931471805599453,1.0986122886681098,1.3862943611198906,0.912002785198995,4.700480365792417,4.406719247264253,4.801285064914382,0,1.0986122886681098,0.0,1.0986122886681098,1.0986122886681098,1.0985001127547809,1.0986122886681098,2011-10-27 16:13:34-07:00
clean,clean,clean,clean,1.0986122886681098,2.995732273553991,5.0369526024136295,2.0625256376943586,10.670094280782369,0.0,0.0,0,0.0,0.0,0.0,1.3862943611198906,1.384186914546755,1.3862943611198906,2011-10-28 15:54:06-07:00
clean,clean,clean,clean,0.6931471805599453,1.0986122886681098,1.0986122886681098,0.686598030806564,4.127134385045092,1.9459101490553128,5.1149953094204985,0,0.6931471805599453,1.0986122886681098,0.6931471805599453,1.6094379124341005,1.6015954379736248,1.6094379124341005,2011-10-31 11:48:13-07:00
buggy,buggy,buggy,buggy,0.6931471805599453,1.3862943611198906,2.19722457733622,1.2050857196755993,6.643789733147672,4.844187086458591,4.385146762010125,0,0.6931471805599453,1.0560526742493137,1.3862943611198906,1.791759469228055,1.7819742572076445,1.791759469228055,2011-11-01 22:24:13-07:00
clean,clean,clean,clean,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,5.700443573390687,5.673323267171493,5.8971538676367405,0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.0,1.9459101490553128,2011-11-02 22:29:59-07:00
clean,clean,clean,clean,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,1.791759469228055,0.0,0.6931471805599453,0,1.0986122886681098,0.0,0.0,0.6931471805599453,0.6923179241030744,0.6931471805599453,2011-11-03 13:02:47-07:00
clean,clean,clean,clean,0.6931471805599453,0.6931471805599453,5.0238805208462765,2.058689561892633,3.091042453358316,10.658834584175423,6.275351777644279,0,1.3862943611198906,1.0647107369924282,1.9459101490553128,1.0986122886681098,1.0980046064111335,0.0,2011-11-03 13:46:08-07:00
clean,clean,clean,clean,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,2.079441541679836,0.0,3.091042453358316,0,0.6931471805599453,0.0,0.0,1.3862943611198906,1.385832526656398,0.6931471805599453,2011-11-03 13:50:25-07:00
clean,clean,clean,clean,0.6931471805599453,0.6931471805599453,1.3862943611198906,0.9497110013643236,1.9459101490553128,1.9459101490553128,5.041272263558145,0,0.0,0.0,0.0,1.6094379124341005,1.6090596135134236,0.0,2011-11-03 13:56:14-07:00
clean,clean,clean,clean,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0.0,1.9459101490553128,0,1.3862943611198906,0.0,0.0,1.791759469228055,1.7914412453835311,1.0986122886681098,2011-11-03 13:58:07-07:00
buggy,buggy,buggy,clean,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,1.0986122886681098,0.0,2.079441541679836,0,1.3862943611198906,0.0,0.0,1.9459101490553128,1.9445630199024428,1.3862943611198906,2011-11-04 00:57:38-07:00
