buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp,commit_date
clean,clean,clean,clean,1,1,1,0.0,4,0,0.0,0,0,0.0,0,0,0.0,0,2014-04-28 10:06:17-07:00
buggy,clean,clean,clean,4,12,46,4.3167077134382055,5555,0,0.0,0,0,0.0,0,1,0.9971285757711794,0,2014-04-29 20:19:51+02:00
buggy,clean,clean,clean,3,10,39,4.263983833862134,1167,2045,125.12820512820512,0,1,0.7692307692307693,1,2,1.986024831587976,1,2014-05-01 21:22:40+02:00
buggy,clean,clean,clean,3,8,11,2.595427741202144,282,330,184.078125,0,1,0.0,2,3,2.9809997019632486,2,2014-05-02 12:12:49+02:00
buggy,buggy,buggy,buggy,2,4,8,2.266598814969348,137,89,91.375,0,1,0.0,2,4,3.980931732346305,3,2014-05-02 12:21:50+02:00
clean,clean,clean,clean,0,0,0,0.0,0,0,118.96428571428572,0,0,0.0,0,5,4.980847239704301,0,2014-05-02 12:30:47+02:00
buggy,buggy,buggy,buggy,2,4,7,2.6246984764943515,148,23,119.28571428571428,0,1,0.0,3,5,5.979704656216184,4,2014-05-02 14:11:32+02:00
clean,clean,clean,clean,1,1,3,1.1810386681053249,31,0,114.66666666666669,0,1,0.0,3,6,6.97955768199146,5,2014-05-02 14:22:38+02:00
buggy,clean,clean,clean,2,7,26,3.312420612488398,331,66,120.4516129032258,1,1,0.7619047619047619,6,7,7.972666654178019,6,2014-05-02 21:58:05+02:00
clean,buggy,buggy,buggy,3,7,17,3.2494513504580955,466,117,120.58823529411764,0,1,0.1666666666666666,5,8,8.956755145994121,7,2014-05-03 13:34:38+02:00
clean,clean,clean,clean,2,6,13,3.0202418663614714,264,165,133.13636363636363,0,1,0.0,3,9,9.952778749325924,8,2014-05-03 17:05:32+02:00
clean,buggy,buggy,buggy,3,6,10,2.938652121106679,146,66,166.9,0,1,0.0,4,10,10.948529868259095,9,2014-05-03 20:30:23+02:00
buggy,buggy,buggy,buggy,2,6,14,3.3170976797786453,162,28,224.6428571428572,0,1,0.1818181818181818,6,11,11.926007362156383,10,2014-05-04 13:07:15+02:00
clean,clean,clean,clean,2,3,3,1.4591479170272448,6,6,61.4,0,1,0.0,0,12,12.924838192728908,10,2014-05-04 13:55:04+02:00
clean,clean,buggy,buggy,2,2,3,0.4079902573499568,295,9,136.66666666666666,0,1,0.0,1,13,13.9130449304118,12,2014-05-04 21:22:59+02:00
