buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp,commit_date
buggy,clean,clean,clean,4,39,189,6.426491220915327,35870,0,0.0,0,0,0.0,0,0,0.0,0,2010-03-19 12:43:33-07:00
buggy,clean,clean,clean,3,6,16,2.9241688289777774,527,24,94.66666666666669,0,1,0.8181818181818182,1,0,0.0,1,2010-03-20 12:50:51-07:00
clean,clean,clean,clean,1,1,2,0.1040346910582256,102,118,139.0,1,1,1.0,1,0,0.0,2,2010-03-21 13:06:12-07:00
buggy,buggy,buggy,buggy,2,6,13,2.621393371394129,475,29,213.84615384615384,0,3,4.2727272727272725,2,0,0.0,3,2010-03-27 00:24:03-07:00
clean,clean,buggy,buggy,1,5,6,1.9269161322141468,106,10,1057.3333333333333,0,4,5.0,3,1,0.99463946227651,4,2010-03-28 23:36:44-07:00
clean,clean,buggy,buggy,1,1,1,0.0,19,7,226.0,0,1,0.0,1,2,1.991025766336244,5,2010-03-29 15:33:15-07:00
clean,buggy,buggy,buggy,1,1,1,0.0,122,95,238.0,0,1,0.0,1,3,2.9891316611494045,6,2010-03-29 21:07:18-07:00
buggy,buggy,buggy,buggy,2,3,3,0.0828413115965487,316,15,904.5,0,2,1.5,2,4,3.979936365362403,7,2010-03-30 17:24:57-07:00
buggy,buggy,buggy,buggy,1,2,2,0.1885719560247966,80,24,449.0,0,2,5.5,2,5,4.976338963422835,8,2010-03-30 23:46:26-07:00
buggy,buggy,buggy,buggy,1,1,1,0.0,31,11,444.0,1,1,0.0,1,6,5.964280212779641,9,2010-03-31 17:33:18-07:00
buggy,clean,clean,clean,1,2,2,0.3095434291503252,17,19,380.0,1,2,2.5,2,7,6.950711122986743,10,2010-04-01 10:44:37-07:00
buggy,buggy,buggy,buggy,1,2,2,0.222284830685688,21,7,811.0,1,2,1.5,2,8,7.94139220450725,11,2010-04-01 21:05:12-07:00
buggy,buggy,buggy,buggy,1,1,1,0.0,73,25,475.0,0,1,0.0,1,9,8.922222447868092,12,2010-04-02 16:01:51-07:00
clean,buggy,buggy,clean,1,1,1,0.0,4,2,486.0,0,3,0.0,0,10,9.92052035286054,3,2010-04-02 17:32:44-07:00
buggy,buggy,buggy,buggy,3,4,5,0.5699253197327635,147,18,2624.1428571428573,0,3,8.5,2,11,10.867065609642436,13,2010-04-04 12:56:53-07:00
buggy,buggy,buggy,buggy,2,2,2,0.4612160405139095,119,6,321.0,1,1,0.0,1,12,11.861633252820129,14,2010-04-04 17:00:17-07:00
