buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp,commit_date
buggy,clean,clean,clean,3,9,25,3.5824831697107147,2902,0,0.0,0,0,0.0,0,0,0.0,0,2011-12-04 15:55:42+01:00
buggy,buggy,buggy,buggy,3,4,6,1.4979931830337612,138,153,250.3333333333333,0,1,0.0,1,1,0.9998456605569636,1,2011-12-04 17:16:50+01:00
buggy,clean,clean,clean,1,1,1,0.0,26,7,649.0,1,1,0.0,1,2,1.9997828868288343,2,2011-12-04 17:33:20+01:00
clean,clean,clean,clean,1,1,1,0.0,1,1,51.0,0,1,0.0,0,3,2.998106175449898,2,2011-12-04 22:27:18+01:00
clean,clean,clean,clean,1,1,1,0.0,8,3,123.0,0,1,1.0,1,4,3.987235310182809,3,2011-12-05 22:20:59+01:00
clean,buggy,buggy,clean,2,2,2,0.998932654626058,87,17,342.0,0,1,2.0,1,5,4.973386066460691,4,2011-12-06 22:48:21+01:00
clean,clean,clean,clean,1,1,1,0.0,11,4,696.0,0,1,0.0,1,6,5.973174869183716,5,2011-12-06 23:07:01+01:00
clean,buggy,buggy,clean,1,1,2,0.9861260846302384,111,85,837.5,1,1,0.0,0,7,6.93847841497441,1,2011-12-08 19:05:25+01:00
buggy,buggy,buggy,buggy,3,5,9,2.1940754958088675,430,137,204.44444444444449,0,1,1.8571428571428568,3,8,7.9373514984233315,7,2011-12-08 20:20:37+01:00
clean,clean,clean,clean,1,1,2,0.9509560484549724,0,27,13.5,0,1,0.0,0,9,8.936936120835384,2,2011-12-08 20:45:13+01:00
buggy,buggy,buggy,buggy,1,2,4,0.8910999982667241,217,10,174.4,0,1,1.75,3,10,9.9216519612974,7,2011-12-09 10:20:01+01:00
clean,clean,clean,clean,1,1,2,1.0,2,2,81.0,0,1,0.0,0,11,10.908849070825958,5,2011-12-09 20:41:17+01:00
clean,clean,clean,clean,1,1,2,1.0,2,0,164.5,0,1,0.0,1,12,11.908819838901293,8,2011-12-09 20:42:35+01:00
buggy,buggy,buggy,buggy,1,1,1,0.0,37,2,248.0,0,1,1.0,1,13,12.908803986312416,9,2011-12-09 20:43:14+01:00
buggy,buggy,buggy,clean,1,2,5,2.0325034039550345,73,18,343.4,1,1,0.8,2,14,13.90878602071247,10,2011-12-09 20:43:55+01:00
buggy,clean,clean,clean,2,9,11,2.823249343584582,698,41,27.321428571428573,0,1,0.0,1,15,14.902926389696338,11,2011-12-10 00:11:50+01:00
buggy,buggy,buggy,buggy,2,5,7,1.7856826788485454,187,100,310.1428571428572,1,1,0.0,5,16,15.882269291330052,12,2011-12-10 11:39:36+01:00
clean,clean,clean,clean,2,4,5,1.0573352832252558,207,54,217.4,0,1,0.0,2,17,16.880284899377973,16,2011-12-10 12:41:49+01:00
buggy,buggy,buggy,buggy,1,2,2,0.9696055994904408,168,8,692.5,0,1,0.0,2,18,17.87387371811771,14,2011-12-10 15:51:36+01:00
buggy,buggy,buggy,buggy,1,1,1,0.0,4,2,812.0,1,1,0.0,1,19,18.869148354041613,15,2011-12-10 18:04:06+01:00
clean,clean,clean,clean,1,1,1,0.0,6,2,156.0,0,1,0.0,1,20,19.86913771295865,16,2011-12-10 18:04:23+01:00
