buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp,commit_date
clean,clean,clean,clean,1,1,2,0.7219280948873623,20,0,0.0,0,0,0.0,0,0,0.0,0,2012-10-27 06:20:30-07:00
clean,clean,clean,clean,1,1,1,0.0,952,0,0.0,0,0,0.0,0,1,0.9941229604260504,0,2012-10-29 22:25:44+05:18
buggy,clean,clean,clean,3,7,34,3.50129277259059,4047,0,0.0,0,0,0.0,0,2,1.994096480634563,1,2012-10-29 22:32:44+05:18
clean,clean,clean,clean,0,0,2,0.0,20,0,0.0,0,0,0.0,0,3,2.994034795699076,0,2012-10-29 22:43:35+05:18
buggy,buggy,buggy,clean,1,1,1,0.0,33,2,4.0,0,1,0.0,0,4,3.993994201820899,1,2012-10-29 22:48:56+05:18
buggy,buggy,buggy,buggy,1,1,1,0.0,2,2,117.0,1,1,3.0,1,0,0.0,2,2012-11-01 19:30:22+01:00
clean,clean,clean,clean,0,0,1,0.0,2,2,0.0,1,0,0.0,0,5,4.951357523703415,0,2012-11-01 14:02:21-07:00
buggy,buggy,buggy,buggy,2,3,6,1.4308640671431296,172,76,408.8333333333333,1,2,2.25,2,6,5.948824801913836,3,2012-11-02 06:05:57+05:18
buggy,buggy,buggy,buggy,2,2,2,0.9366673818775624,12,5,515.0,0,1,0.0,1,7,6.948611755468535,4,2012-11-02 06:22:11+05:18
clean,clean,clean,clean,1,1,1,0.0,13,0,35.0,0,1,0.0,0,8,7.946599756364034,2,2012-11-02 08:36:07+05:18
buggy,buggy,buggy,clean,1,1,1,0.0,5,1,48.0,0,1,0.0,0,1,0.9986555707047732,3,2012-11-02 07:17:57+01:00
clean,clean,clean,clean,0,0,1,0.0,5,1,0.0,1,0,0.0,0,9,8.943512988910888,0,2012-11-01 23:20:36-07:00
clean,clean,clean,clean,1,1,1,0.0,3,3,52.0,0,2,0.0,0,2,1.9986235240232848,4,2012-11-02 07:26:23+01:00
clean,clean,clean,clean,0,0,1,0.0,3,3,0.0,1,0,0.0,0,10,9.943302925007806,0,2012-11-01 23:31:46-07:00
buggy,buggy,buggy,clean,1,1,1,0.0,6,4,15.0,0,1,0.0,0,3,2.996420736006401,3,2012-11-02 13:52:57+01:00
clean,clean,clean,clean,0,0,1,0.0,6,4,0.0,1,0,0.0,0,11,10.935292865062502,0,2012-11-02 05:58:45-07:00
buggy,buggy,buggy,clean,1,1,1,0.0,21,1,52.0,0,2,0.0,0,4,3.996307421169342,5,2012-11-02 14:07:52+01:00
buggy,buggy,buggy,clean,1,2,2,0.4689955935892812,5,5,12.5,1,2,0.0,0,12,11.935038776203816,4,2012-11-02 18:28:00+05:18
clean,clean,clean,clean,1,1,1,0.0,9,0,16.0,0,1,0.0,0,5,4.996106685867057,1,2012-11-02 14:29:00+01:00
clean,clean,clean,clean,0,0,1,0.0,21,1,0.0,1,0,0.0,0,13,12.934569444059733,0,2012-11-02 06:29:10-07:00
