buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp,commit_date
buggy,clean,clean,clean,3,39,110,6.173398507,12081,0,0.0,0,1,0.0,0,0,0.0,0,2012-08-29 21:35:43+01:00
buggy,clean,clean,clean,2,2,2,0.522559375,10,7,475.0,0,1,0.0,0,0,0.0,1,2012-09-06 22:20:44+01:00
buggy,buggy,buggy,clean,1,1,1,0.0,4,5,468.0,1,1,4.0,1,1,0.987203636,2,2012-09-07 02:01:08+02:00
clean,buggy,buggy,buggy,1,1,1,0.0,1,1,442.0,1,1,5.0,1,2,1.983932354,3,2012-09-11 19:34:05+02:00
buggy,clean,clean,clean,1,1,1,0.0,9,7,296.0,0,1,5.0,1,3,2.983897814,4,2012-09-12 09:06:17+01:00
buggy,buggy,buggy,buggy,1,1,3,1.555647264,298,0,0.0,0,0,0.0,0,0,0.0,5,2012-09-12 09:12:24+01:00
buggy,buggy,buggy,buggy,1,2,2,0.893571102,113,3,1017.0,0,1,5.5,1,1,0.999878249,6,2012-09-18 09:08:18+01:00
buggy,buggy,buggy,buggy,1,3,4,1.281175619,74,33,781.75,0,2,6.5,3,2,1.993794247,7,2012-09-18 10:12:18+01:00
clean,buggy,buggy,buggy,1,1,1,0.0,0,12,12.0,0,2,0.0,0,3,2.993782121,0,2012-09-19 12:56:15+01:00
clean,clean,clean,clean,1,1,1,0.0,2,1,45.0,0,1,0.0,0,4,3.993777948,1,2012-09-19 12:58:23+01:00
clean,clean,clean,clean,0,0,9,0.0,461,23,0.0,0,0,0.0,0,1,0.965846858,0,2012-09-19 12:58:56+01:00
buggy,clean,clean,clean,2,8,17,3.133222806,481,236,384.1176471,0,3,9.846153846,4,4,3.875582994,9,2012-09-19 12:06:23-07:00
buggy,buggy,buggy,buggy,0,0,12,0.0,889,440,0.0,0,0,0.0,0,5,4.875462519,0,2012-09-22 16:00:43+02:00
buggy,clean,clean,clean,1,6,11,1.871055445,92,93,553.0909091,1,3,9.454545455,6,6,5.874313984,9,2012-09-22 16:14:02+02:00
buggy,buggy,buggy,buggy,1,1,1,0.0,1,1,293.0,0,2,0.0,0,7,6.874297282,10,2012-09-22 17:58:57+02:00
buggy,buggy,buggy,clean,1,9,13,2.947382006,582,8,356.1538462,0,3,1.909090909,3,8,7.838430898,11,2012-09-22 18:00:15+02:00
clean,buggy,buggy,buggy,1,1,1,0.0,0,3,2198.0,0,3,0.0,1,9,8.838013273,12,2012-09-24 10:42:59+02:00
buggy,clean,clean,clean,1,2,5,2.076213574,61,14,504.0,1,3,3.6,5,5,4.925313218,13,2012-09-24 11:08:16+02:00
clean,buggy,buggy,buggy,1,1,1,0.0,3,2,404.0,1,1,1.0,1,10,9.806331703,14,2012-09-24 14:54:10+01:00
clean,clean,clean,clean,0,0,43,0.0,1986,1155,0.0,0,0,0.0,0,2,1.935610649,0,2012-09-25 15:53:49+02:00
clean,clean,clean,clean,1,2,2,0.749595257,8,6,206.0,0,2,19.0,1,6,5.903642233,15,2012-09-25 07:16:57-07:00
clean,clean,clean,clean,1,2,2,0.918295834,2,4,1233.0,0,3,1.0,1,7,6.895942313,16,2012-09-25 23:27:47+01:00
clean,clean,clean,clean,1,1,1,0.0,1,0,46.0,0,3,0.0,0,8,7.874408725,2,2012-09-26 09:22:49+01:00
clean,clean,clean,clean,0,0,42,0.0,1615,783,0.0,0,0,0.0,0,9,8.872271898,0,2012-09-27 09:38:58+01:00
clean,clean,clean,clean,1,1,1,0.0,1,1,109.0,1,1,3.0,1,10,9.867200633,17,2012-09-27 11:47:20+01:00
buggy,clean,clean,clean,1,5,10,2.498912582,322,247,498.6,1,3,4.7,10,11,10.7398106,18,2012-09-27 16:20:56+01:00
clean,buggy,buggy,buggy,0,0,8,0.0,430,381,0.0,0,0,0.0,0,3,2.917270923,0,2012-09-27 23:06:44+02:00
buggy,clean,clean,clean,0,0,7,0.0,424,398,0.0,0,0,0.0,0,12,11.72450176,0,2012-09-27 15:32:13-07:00
clean,buggy,clean,clean,0,0,10,0.0,283,231,0.0,1,0,0.0,0,4,3.912457402,0,2012-09-28 10:48:01+02:00
