buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp,commit_date
clean,clean,clean,clean,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2011-10-18 15:53:51-07:00
clean,clean,clean,clean,2,4,4,1.1233680904160162,263,0,0.0,0,0,0.0,0,0,0.9786857779354023,0,2011-10-26 14:40:35-07:00
clean,clean,clean,clean,1,1,1,0.0,1,0,0.0,0,1,0.0,0,0,0.0,0,2011-10-27 14:27:32-07:00
clean,clean,buggy,buggy,1,2,2,0.9982545693874832,113,9,129.0,0,1,1.0,1,1,0.99993309681525,1,2011-10-27 15:02:42-07:00
clean,buggy,buggy,buggy,1,2,3,1.4893030836055314,109,81,120.66666666666669,0,2,0.0,2,2,1.9996634911344613,2,2011-10-27 16:13:34-07:00
clean,clean,clean,clean,2,19,153,6.86581093261642,43048,0,0.0,0,0,0.0,0,3,2.991579090132948,3,2011-10-28 15:54:06-07:00
clean,clean,clean,clean,1,2,2,0.9869444983748494,61,6,165.5,0,1,2.0,1,4,3.960940987543019,4,2011-10-31 11:48:13-07:00
buggy,buggy,buggy,buggy,1,3,8,2.337045116232514,767,126,79.25,0,1,1.875,3,5,4.941575044350231,5,2011-11-01 22:24:13-07:00
clean,clean,clean,clean,1,1,1,0.0,298,290,363.0,0,1,1.0,1,0,0.0,6,2011-11-02 22:29:59-07:00
clean,clean,clean,clean,1,1,1,0.0,5,0,1.0,0,2,0.0,0,1,0.9983421745624846,1,2011-11-03 13:02:47-07:00
clean,clean,clean,clean,1,1,151,6.83569488628614,21,42566,530.3132530120482,0,3,1.9,6,2,1.998177507033476,0,2011-11-03 13:46:08-07:00
clean,clean,clean,clean,1,1,1,0.0,7,0,21.0,0,1,0.0,0,3,2.9981530886625105,1,2011-11-03 13:50:25-07:00
clean,clean,clean,clean,1,1,3,1.584962500721156,6,6,153.66666666666666,0,0,0.0,0,4,3.998108863126688,0,2011-11-03 13:56:14-07:00
clean,clean,clean,clean,1,1,1,0.0,1,0,6.0,0,3,0.0,0,5,4.998090960699881,2,2011-11-03 13:58:07-07:00
buggy,buggy,buggy,clean,1,1,1,0.0,2,0,7.0,0,3,0.0,0,6,5.990576444728044,3,2011-11-04 00:57:38-07:00
buggy,clean,clean,clean,1,3,9,2.597079180667892,187,187,134.33333333333334,0,3,1.0,5,7,6.971667046667525,1,2011-11-05 00:45:09-07:00
clean,clean,clean,clean,1,1,1,0.0,6,0,28.0,0,1,0.0,0,8,7.971667046667525,2,2011-11-05 00:45:09-07:00
clean,clean,clean,clean,1,2,2,0.2498822928331854,47,1,74.5,1,2,2.0,1,9,8.863791587129425,2,2011-11-09 10:42:04-08:00
buggy,buggy,buggy,buggy,2,3,9,2.746657465638001,937,0,3.7777777777777777,0,1,0.0,0,10,9.863789118922734,6,2011-11-09 10:42:12-08:00
clean,clean,clean,clean,1,2,2,0.8023534428291901,29,16,99.5,0,2,4.0,2,11,10.863789118922735,4,2011-11-09 10:42:12-08:00
clean,clean,clean,clean,1,1,4,1.8376474562371987,33,0,0.0,0,0,0.0,0,12,11.863789118922735,5,2011-11-09 10:42:12-08:00
buggy,buggy,buggy,buggy,1,2,4,1.633889225946044,242,156,53.0,0,1,0.0,1,13,12.863789118922735,6,2011-11-09 10:42:12-08:00
clean,clean,clean,clean,1,2,4,0.7448172912942729,142,127,223.0,0,2,4.25,3,14,13.863789118922735,7,2011-11-09 10:42:12-08:00
buggy,buggy,buggy,buggy,1,5,15,3.3335178081994856,551,210,126.06666666666666,0,3,6.4,8,15,14.537571232202184,8,2011-11-17 17:03:53-08:00
buggy,buggy,buggy,buggy,1,1,1,0.0,112,0,0.0,0,0,0.0,0,16,15.537571232202184,9,2011-11-17 17:03:53-08:00
clean,clean,buggy,buggy,1,2,5,2.117143266999097,42,46,187.4,0,2,1.6,4,17,16.537571232202183,10,2011-11-17 17:03:53-08:00
clean,buggy,buggy,buggy,2,4,20,3.3388705883182785,37,1018,103.05,0,3,2.1052631578947367,10,18,17.537571232202183,14,2011-11-17 17:03:53-08:00
clean,clean,clean,clean,1,1,1,0.0,4,0,9.0,0,3,0.0,0,19,18.49297364609484,4,2011-11-18 14:42:46-08:00
clean,clean,clean,clean,1,1,1,0.0,56,1,44.0,0,1,0.0,0,20,19.492953760702846,5,2011-11-18 14:43:19-08:00
buggy,buggy,buggy,clean,2,3,3,1.498872146878066,36,0,0.0,0,0,0.0,0,21,20.492640422869457,0,2011-11-18 14:51:33-08:00
clean,clean,clean,clean,1,1,1,0.0,2,2,207.0,1,1,0.0,1,22,21.49257382435554,12,2011-11-18 14:53:13-08:00
